SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,458 11th Ave #458,San Francisco,CA,94118,2150000,7,,San Francisco,4512,3000,2005,11,477,,Active,,,http://www.redfin.com/CA/San-Francisco/458-11th-Ave-94118/unit-458/home/175847907,San Francisco MLS,421578455,N,Y,37.779627,-122.469222
MLS Listing,,Condo/Co-op,458 11th Ave #456,San Francisco,CA,94118,1150000,7,,San Francisco,4512,3000,2005,11,255,,Active,,,http://www.redfin.com/CA/San-Francisco/458-11th-Ave-94118/unit-456/home/175847906,San Francisco MLS,421578442,N,Y,37.779627,-122.469222
MLS Listing,,Condo/Co-op,890 - 898 Green St #890,San Francisco,CA,94133,998000,2,1.5,San Francisco,850,2395,1908,11,1174,397,Active,August-8-2021 01:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/890-Green-St-94133/unit-890/home/175847905,San Francisco MLS,421578315,N,Y,37.7990676,-122.4137426
MLS Listing,,Single Family Residential,424 Avalon Ave,San Francisco,CA,94112,799950,2,1.0,San Francisco,875,1873,1922,12,,,Active,,,http://www.redfin.com/CA/San-Francisco/424-Avalon-Ave-94112/home/1598706,MetroList,421578390,N,Y,37.7259176,-122.428954
MLS Listing,,Single Family Residential,1963 9th Ave,San Francisco,CA,94116,1190000,2,1.0,San Francisco,1240,2996,1926,12,960,,Active,,,http://www.redfin.com/CA/San-Francisco/1963-9th-Ave-94116/home/1644507,BAREIS,421578075,N,Y,37.7516814,-122.4656318
MLS Listing,,Condo/Co-op,791 18th Ave,SAN FRANCISCO,CA,94121,1099000,2,1.0,SAN FRANCISCO,1150,,1920,12,956,290,Active,,,http://www.redfin.com/CA/San-Francisco/791-18th-Ave-94121/home/1338730,MLSListings,ML81855326,N,Y,37.7731571,-122.4768862
MLS Listing,,Condo/Co-op,900 Bush St #906,San Francisco,CA,94109,899000,1,1.0,San Francisco,831,37816,1982,12,1082,1125,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-906/home/554343,San Francisco MLS,421574755,N,Y,37.7899069,-122.4123875
MLS Listing,,Condo/Co-op,950 Lake St,San Francisco,CA,94118,1995000,3,2.0,San Francisco,1817,2689,1908,12,1098,372,Active,,,http://www.redfin.com/CA/San-Francisco/950-Lake-St-94118/home/1154785,San Francisco MLS,421576945,N,Y,37.7866132,-122.4698773
MLS Listing,,Single Family Residential,251 Farallones St,San Francisco,CA,94112,1100000,3,2.0,San Francisco,1665,2500,1926,13,661,,Active,,,http://www.redfin.com/CA/San-Francisco/251-Farallones-St-94112/home/986914,San Francisco MLS,421578334,N,Y,37.7138425,-122.4609438
MLS Listing,,Single Family Residential,556 Funston Ave,San Francisco,CA,94118,3850000,6,4.5,San Francisco,4708,3600,1913,13,818,,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/556-Funston-Ave-94118/home/991525,San Francisco MLS,421574821,N,Y,37.7777993,-122.4713367
MLS Listing,,Condo/Co-op,855 Folsom St #124,SAN FRANCISCO,CA,94107,799888,1,1.5,SAN FRANCISCO,904,,2001,13,885,717,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-124/home/12397836,MLSListings,ML81855289,N,Y,37.7808956,-122.4019503
MLS Listing,,Single Family Residential,1690 York St,San Francisco,CA,94110,970000,2,1.0,San Francisco,1050,1716,1936,13,924,,Active,,,http://www.redfin.com/CA/San-Francisco/1690-York-St-94110/home/1856224,San Francisco MLS,421578319,N,Y,37.7464816,-122.4055569
MLS Listing,,Single Family Residential,55 Garnett Ter,San Francisco,CA,94124-2571,949000,3,2.0,Bayview,1600,1716,1996,13,593,168,Active,August-7-2021 01:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/55-Garnett-Ter-94124/home/1575807,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960376,N,Y,37.7325991,-122.3819575
MLS Listing,,Condo/Co-op,400 Bristol Ct #302,San Francisco,CA,94130,832000,0,1.0,San Francisco,728,,,13,1143,1289,Active,,,http://www.redfin.com/CA/San-Francisco/1-Yerba-Buena-Rd-94130/unit-302/home/175843760,San Francisco MLS,421578277,N,Y,37.8108709,-122.3668348
MLS Listing,,Single Family Residential,64 Marietta Dr,San Francisco,CA,94127,1675000,3,1.5,San Francisco,1820,2927,1932,13,920,,Active,August-6-2021 03:30 PM,August-6-2021 05:30 PM,http://www.redfin.com/CA/San-Francisco/64-Marietta-Dr-94127/home/1003227,San Francisco MLS,421569670,N,Y,37.7417712,-122.4493037
